Title,Location,Salary,Description 1,Salary1,Focus,Days,Title1,Company,jobsearchrnnx2x1,Location1,Salary2,mtxxsm1,days
Sr. Security Controls Assessor - TS Clearance and FSP Required,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Sr. Security Controls Assessor - TS Clearance and FSP Required,,,"Columbia, MD",$43K - $153K (Employer est.),,19d
Communication Security (COMSEC) Alternate Manager,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Communication Security (COMSEC) Alternate Manager,,,"Washington, DC",$73K - $110K (Glassdoor est.),,30d+
Cyber Network Defense Analyst (-),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Network Defense Analyst (-),,,"Ashburn, VA",$75K - $115K (Employer est.),,2d
Watch Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Watch Analyst,,,"Arlington, VA",$53K - $80K (Glassdoor est.),,12d
IT Internal Auditor - Lead Associate (Remote),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,IT Internal Auditor - Lead Associate (Remote),,,"Washington, DC",$73K - $111K (Glassdoor est.),,30d+
Cybersecurity Test Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cybersecurity Test Engineer,,,"Alexandria, VA",$82K - $186K (Employer est.),,30d+
Cybersecurity Analytics Expert,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cybersecurity Analytics Expert,,,"Chantilly, VA",$146K - $234K (Employer est.),,22d
Security Control Assessor,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Security Control Assessor,,,"Washington, DC",$60K - $80K (Employer est.),,30d+
"Endpoint Detection and Response EDR/ETDR Engineer Cyber - Washington, DC","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,"Endpoint Detection and Response EDR/ETDR Engineer Cyber - Washington, DC",,,"Washington, DC",$150K - $170K (Employer est.),,1d
System Security Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,System Security Analyst,,,"King George, VA",$81K - $120K (Glassdoor est.),,30d+
Cybersecurity Area Sales Manager Northeast Region Remote,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cybersecurity Area Sales Manager Northeast Region Remote,,,"Springfield, VA",,,10d
Lead SOC Analyst (-),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Lead SOC Analyst (-),,,"Ashburn, VA",$135K - $165K (Employer est.),,2d
Cyber Data Analytics Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Data Analytics Engineer,,,"Beltsville, MD",$86K - $138K (Employer est.),,26d
Cybersecurity Analyst II (Monitoring),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cybersecurity Analyst II (Monitoring),,,"Washington, DC",$58K - $88K (Glassdoor est.),,30d+
Mobile Security Researcher,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Mobile Security Researcher,,,"Arlington, VA",$62K - $97K (Glassdoor est.),,12d
Weapon Systems Cyber Risk Specialist,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Weapon Systems Cyber Risk Specialist,,,"Arlington, VA",$73K - $166K (Employer est.),,27d
"Computer Network Defense (CND) Analyst, Junior (CDNA1)","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,"Computer Network Defense (CND) Analyst, Junior (CDNA1)",,,"Annapolis Junction, MD",$86K - $138K (Employer est.),,10d
E-mail Security Engineer-Senior Associate,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,E-mail Security Engineer-Senior Associate,,,"Reston, VA",$87K - $120K (Glassdoor est.),,30d+
Mobile Vulnerability Researcher-TS/SCI with Poly,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Mobile Vulnerability Researcher-TS/SCI with Poly,,,"Fort Meade, MD",,,30d+
Information Systems Security Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Information Systems Security Engineer,,,"Fort Belvoir, VA",$73K - $166K (Employer est.),,10d
CNO Developer/Reverse Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,CNO Developer/Reverse Engineer,,,"Chantilly, VA",$84K - $121K (Glassdoor est.),,17d
Cyber Security Analyst - All Levels,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Security Analyst - All Levels,,,"McLean, VA",$72K - $109K (Glassdoor est.),,30d+
Cyber Security Analyst I,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Security Analyst I,,,"Washington, DC",$69K - $103K (Glassdoor est.),,30d+
Cybersecurity Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cybersecurity Engineer,,,"Fairfax, VA",$98K - $137K (Glassdoor est.),,30d+
Cyber-Intelligence Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber-Intelligence Analyst,,,"Chantilly, VA",$146K - $234K (Employer est.),,9d
Cyber Security Analyst (Entry Level),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Security Analyst (Entry Level),,,"Washington, DC",$60K (Employer est.),,30d+
IT Security Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,IT Security Analyst,,,"Arlington, VA",$65.00 - $75.00 Per Hour (Employer est.),,18d
Principal Security Systems Engineer / Senior Principal Security Systems Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Principal Security Systems Engineer / Senior Principal Security Systems Engineer,,,"Linthicum, MD",$100K - $150K (Employer est.),,30d+
Information Security Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Information Security Analyst,,,"Alexandria, VA",$58K - $88K (Glassdoor est.),,2d
